offset,address,live1,live2,stable
0x0000,0x0acbb000,0x30000000,0x30000000,1
0x0080,0x0acbb080,0x00000001,0x00000001,1
0x0200,0x0acbb200,0x00032103,0x00032103,1
0x0204,0x0acbb204,0x00000001,0x00000001,1
0x024c,0x0acbb24c,0x08100990,0x08100990,1
0x0250,0x0acbb250,0x0a510bd0,0x0a510bd0,1
0x0254,0x0acbb254,0x00010180,0x00010180,1
0x0258,0x0acbb258,0x024003c0,0x024003c0,1
0x025c,0x0acbb25c,0x18181998,0x18181998,1
0x0260,0x0acbb260,0x1a591bd8,0x1a591bd8,1
0x0264,0x0acbb264,0x10081188,0x10081188,1
0x0268,0x0acbb268,0x124813c8,0x124813c8,1
0x0310,0x0acbb310,0x00000040,0x00000040,1
0x0328,0x0acbb328,0xffff0000,0xffff0000,1
0x032c,0x0acbb32c,0xffff0000,0xffff0000,1
0x0338,0x0acbb338,0x00000001,0x00000001,1
0x033c,0x0acbb33c,0x00000001,0x00000001,1
0x0340,0x0acbb340,0x08000008,0x08000008,1
0x0348,0x0acbb348,0x00000001,0x00000001,1
0x035c,0x0acbb35c,0xffff0000,0xffff0000,1
0x0360,0x0acbb360,0x3fff0000,0x3fff0000,1
0x037c,0x0acbb37c,0x00000001,0x00000001,1
0x0390,0x0acbb390,0x00000fff,0x00000fff,1
0x0530,0x0acbb530,0x00000001,0x00000001,1
0x0534,0x0acbb534,0x00000001,0x00000001,1
0x0538,0x0acbb538,0x08000008,0x08000008,1
0x0548,0x0acbb548,0x00000001,0x00000001,1
0x0550,0x0acbb550,0xffff0000,0xffff0000,1
0x0554,0x0acbb554,0x3fff0000,0x3fff0000,1
0x056c,0x0acbb56c,0x00000001,0x00000001,1
0x058c,0x0acbb58c,0x00000fff,0x00000fff,1
0x0630,0x0acbb630,0x00000001,0x00000001,1
0x0634,0x0acbb634,0x00000001,0x00000001,1
0x0638,0x0acbb638,0x08000008,0x08000008,1
0x0648,0x0acbb648,0x00000001,0x00000001,1
0x0650,0x0acbb650,0xffff0000,0xffff0000,1
0x0654,0x0acbb654,0x3fff0000,0x3fff0000,1
0x066c,0x0acbb66c,0x00000001,0x00000001,1
0x068c,0x0acbb68c,0x00000fff,0x00000fff,1
0x0730,0x0acbb730,0x00000001,0x00000001,1
0x0734,0x0acbb734,0x00000001,0x00000001,1
0x0738,0x0acbb738,0x08000008,0x08000008,1
0x0748,0x0acbb748,0x00000001,0x00000001,1
0x0750,0x0acbb750,0xffff0000,0xffff0000,1
0x0754,0x0acbb754,0x3fff0000,0x3fff0000,1
0x076c,0x0acbb76c,0x00000001,0x00000001,1
0x078c,0x0acbb78c,0x00000fff,0x00000fff,1
0x0830,0x0acbb830,0x00000001,0x00000001,1
0x0834,0x0acbb834,0x00000001,0x00000001,1
0x0838,0x0acbb838,0x48000008,0x48000008,1
0x0848,0x0acbb848,0x00000001,0x00000001,1
0x0850,0x0acbb850,0xffff0000,0xffff0000,1
0x0854,0x0acbb854,0x3fff0000,0x3fff0000,1
0x086c,0x0acbb86c,0x00000001,0x00000001,1
0x088c,0x0acbb88c,0x00000fff,0x00000fff,1
0x0930,0x0acbb930,0x00000001,0x00000001,1
0x0934,0x0acbb934,0x00000001,0x00000001,1
0x0938,0x0acbb938,0x48000008,0x48000008,1
0x0948,0x0acbb948,0x00000001,0x00000001,1
0x0950,0x0acbb950,0xffff0000,0xffff0000,1
0x0954,0x0acbb954,0x3fff0000,0x3fff0000,1
0x096c,0x0acbb96c,0x00000001,0x00000001,1
0x098c,0x0acbb98c,0x00000fff,0x00000fff,1
0x0a00,0x0acbba00,0x0000ffff,0x0000ffff,1
0x0a18,0x0acbba18,0x0000ffff,0x0000ffff,1
0x0a30,0x0acbba30,0x0000ffff,0x0000ffff,1
0x0a48,0x0acbba48,0x0000ffff,0x0000ffff,1
0x0a60,0x0acbba60,0x000fffff,0x000fffff,1
0x0a78,0x0acbba78,0x000fffff,0x000fffff,1
0x0a90,0x0acbba90,0x000fffff,0x000fffff,1
0x0b10,0x0acbbb10,0x00000040,0x00000040,1
0x0b38,0x0acbbb38,0x00000001,0x00000001,1
0x0b3c,0x0acbbb3c,0x00000001,0x00000001,1
0x0b40,0x0acbbb40,0x08000008,0x08000008,1
0x0b48,0x0acbbb48,0x00000001,0x00000001,1
0x0b5c,0x0acbbb5c,0xffff0000,0xffff0000,1
0x0b60,0x0acbbb60,0x3fff0000,0x3fff0000,1
0x0b7c,0x0acbbb7c,0x00000001,0x00000001,1
0x0b90,0x0acbbb90,0x00000fff,0x00000fff,1
