offset,address,live1,live2,stable
0x1c00,0x0ac72c00,0x00010001,0x00010001,1
0x1c04,0x0ac72c04,0x168c0000,0x170b8000,0
0x1c08,0x0ac72c08,0x00151800,0x00151800,1
0x1c14,0x0ac72c14,0x00000001,0x00000001,1
0x1c18,0x0ac72c18,0x0000000a,0x0000000a,1
0x1c34,0x0ac72c34,0x00000001,0x00000001,1
0x1c3c,0x0ac72c3c,0x00000001,0x00000001,1
0x1c70,0x0ac72c70,0x168c0000,0x170b8000,0
0x1c7c,0x0ac72c7c,0x168c0000,0x170b8000,0
0x1d00,0x0ac72d00,0x00000010,0x00000010,1
0x1d34,0x0ac72d34,0xffffffff,0xffffffff,1
0x1d3c,0x0ac72d3c,0xffffffff,0xffffffff,1
0x1e00,0x0ac72e00,0x00000010,0x00000010,1
0x1e34,0x0ac72e34,0xffffffff,0xffffffff,1
0x1e3c,0x0ac72e3c,0xffffffff,0xffffffff,1
0x1f00,0x0ac72f00,0x00000010,0x00000010,1
0x1f34,0x0ac72f34,0xffffffff,0xffffffff,1
0x1f3c,0x0ac72f3c,0xffffffff,0xffffffff,1
0x2000,0x0ac73000,0x00010001,0x00010001,1
0x2004,0x0ac73004,0x1642c000,0x1648c000,0
0x2008,0x0ac73008,0x00010000,0x00010000,1
0x2014,0x0ac73014,0x00000001,0x00000001,1
0x2018,0x0ac73018,0x00000008,0x00000008,1
0x2034,0x0ac73034,0x00000001,0x00000001,1
0x203c,0x0ac7303c,0x00000001,0x00000001,1
0x2070,0x0ac73070,0x1642c000,0x1648c000,0
0x207c,0x0ac7307c,0x1642c000,0x1648c000,0
0x2100,0x0ac73100,0x00000010,0x00000010,1
0x2134,0x0ac73134,0xffffffff,0xffffffff,1
0x213c,0x0ac7313c,0xffffffff,0xffffffff,1
0x2200,0x0ac73200,0x00000010,0x00000010,1
0x2234,0x0ac73234,0xffffffff,0xffffffff,1
0x223c,0x0ac7323c,0xffffffff,0xffffffff,1
0x2300,0x0ac73300,0x00000010,0x00000010,1
0x2334,0x0ac73334,0xffffffff,0xffffffff,1
0x233c,0x0ac7333c,0xffffffff,0xffffffff,1
0x2400,0x0ac73400,0x00000010,0x00000010,1
0x2434,0x0ac73434,0xffffffff,0xffffffff,1
0x243c,0x0ac7343c,0xffffffff,0xffffffff,1
0x2500,0x0ac73500,0x00000010,0x00000010,1
0x2534,0x0ac73534,0xffffffff,0xffffffff,1
0x253c,0x0ac7353c,0xffffffff,0xffffffff,1
0x2600,0x0ac73600,0x00000010,0x00000010,1
0x2634,0x0ac73634,0xffffffff,0xffffffff,1
0x263c,0x0ac7363c,0xffffffff,0xffffffff,1
0x2700,0x0ac73700,0x00000010,0x00000010,1
0x2734,0x0ac73734,0xffffffff,0xffffffff,1
0x273c,0x0ac7373c,0xffffffff,0xffffffff,1
0x2800,0x0ac73800,0x00000010,0x00000010,1
0x2834,0x0ac73834,0xffffffff,0xffffffff,1
0x283c,0x0ac7383c,0xffffffff,0xffffffff,1
0x2900,0x0ac73900,0x00000010,0x00000010,1
0x2934,0x0ac73934,0xffffffff,0xffffffff,1
0x293c,0x0ac7393c,0xffffffff,0xffffffff,1
0x3900,0x0ac74900,0x10000003,0x10000003,1
0x3b00,0x0ac74b00,0x10040001,0x10040001,1
0x3b60,0x0ac74b60,0x00100001,0x00100001,1
0x3b68,0x0ac74b68,0x000000c9,0x000000c9,1
0x3b6c,0x0ac74b6c,0x000000ac,0x000000ac,1
0x3b70,0x0ac74b70,0x04270428,0x04270427,0
0x3b74,0x0ac74b74,0x04280427,0x04280427,1
0x3b78,0x0ac74b78,0x0fa40000,0x0fa40000,1
0x3b7c,0x0ac74b7c,0x0fa00000,0x0fa00000,1
0x3b80,0x0ac74b80,0x0fb00000,0x0fb00000,1
0x3b84,0x0ac74b84,0x0fc80000,0x0fc80000,1
0x3b88,0x0ac74b88,0x06600000,0x06600000,1
0x3b8c,0x0ac74b8c,0x06600000,0x06600000,1
0x3b90,0x0ac74b90,0x06600000,0x06600000,1
0x3b94,0x0ac74b94,0x06600000,0x06600000,1
0x3d00,0x0ac74d00,0x30010001,0x30010001,1
0x3d58,0x0ac74d58,0x00000001,0x00000001,1
0x3d5c,0x0ac74d5c,0x00000001,0x00000001,1
0x3d60,0x0ac74d60,0x00000203,0x00000203,1
0x3d68,0x0ac74d68,0x06600000,0x06600000,1
0x3d70,0x0ac74d70,0x00006020,0x00006020,1
0x3d78,0x0ac74d78,0x000019b4,0x00001853,0
0x3d7c,0x0ac74d7c,0x00001fec,0x000025a2,0
0x3d80,0x0ac74d80,0x000009f6,0x00000a86,0
0x3d84,0x0ac74d84,0x00000805,0x000006cd,0
0x3d8c,0x0ac74d8c,0x08700f00,0x08700f00,1
0x3db8,0x0ac74db8,0x00800080,0x00800080,1
0x3dd4,0x0ac74dd4,0x1f400000,0x1f400000,1
0x3dd8,0x0ac74dd8,0x00500000,0x00500000,1
0x3f00,0x0ac74f00,0x10000000,0x10000000,1
