offset,address,live1,live2,stable
0x0000,0x0acb7000,0x30000000,0x30000000,1
0x0080,0x0acb7080,0x00000001,0x00000001,1
0x0200,0x0acb7200,0x00032103,0x00032103,1
0x0204,0x0acb7204,0x00000001,0x00000001,1
0x024c,0x0acb724c,0x08100990,0x08100990,1
0x0250,0x0acb7250,0x0a510bd0,0x0a510bd0,1
0x0254,0x0acb7254,0x00010180,0x00010180,1
0x0258,0x0acb7258,0x024003c0,0x024003c0,1
0x025c,0x0acb725c,0x18181998,0x18181998,1
0x0260,0x0acb7260,0x1a591bd8,0x1a591bd8,1
0x0264,0x0acb7264,0x10081188,0x10081188,1
0x0268,0x0acb7268,0x124813c8,0x124813c8,1
0x0310,0x0acb7310,0x00000040,0x00000040,1
0x0328,0x0acb7328,0xffff0000,0xffff0000,1
0x032c,0x0acb732c,0xffff0000,0xffff0000,1
0x0338,0x0acb7338,0x00000001,0x00000001,1
0x033c,0x0acb733c,0x00000001,0x00000001,1
0x0340,0x0acb7340,0x08000008,0x08000008,1
0x0348,0x0acb7348,0x00000001,0x00000001,1
0x035c,0x0acb735c,0xffff0000,0xffff0000,1
0x0360,0x0acb7360,0x3fff0000,0x3fff0000,1
0x037c,0x0acb737c,0x00000001,0x00000001,1
0x0390,0x0acb7390,0x00000fff,0x00000fff,1
0x0530,0x0acb7530,0x00000001,0x00000001,1
0x0534,0x0acb7534,0x00000001,0x00000001,1
0x0538,0x0acb7538,0x08000008,0x08000008,1
0x0548,0x0acb7548,0x00000001,0x00000001,1
0x0550,0x0acb7550,0xffff0000,0xffff0000,1
0x0554,0x0acb7554,0x3fff0000,0x3fff0000,1
0x056c,0x0acb756c,0x00000001,0x00000001,1
0x058c,0x0acb758c,0x00000fff,0x00000fff,1
0x0630,0x0acb7630,0x00000001,0x00000001,1
0x0634,0x0acb7634,0x00000001,0x00000001,1
0x0638,0x0acb7638,0x08000008,0x08000008,1
0x0648,0x0acb7648,0x00000001,0x00000001,1
0x0650,0x0acb7650,0xffff0000,0xffff0000,1
0x0654,0x0acb7654,0x3fff0000,0x3fff0000,1
0x066c,0x0acb766c,0x00000001,0x00000001,1
0x068c,0x0acb768c,0x00000fff,0x00000fff,1
0x0730,0x0acb7730,0x00000001,0x00000001,1
0x0734,0x0acb7734,0x00000001,0x00000001,1
0x0738,0x0acb7738,0x08000008,0x08000008,1
0x0748,0x0acb7748,0x00000001,0x00000001,1
0x0750,0x0acb7750,0xffff0000,0xffff0000,1
0x0754,0x0acb7754,0x3fff0000,0x3fff0000,1
0x076c,0x0acb776c,0x00000001,0x00000001,1
0x078c,0x0acb778c,0x00000fff,0x00000fff,1
0x0830,0x0acb7830,0x00000001,0x00000001,1
0x0834,0x0acb7834,0x00000001,0x00000001,1
0x0838,0x0acb7838,0x48000008,0x48000008,1
0x0848,0x0acb7848,0x00000001,0x00000001,1
0x0850,0x0acb7850,0xffff0000,0xffff0000,1
0x0854,0x0acb7854,0x3fff0000,0x3fff0000,1
0x086c,0x0acb786c,0x00000001,0x00000001,1
0x088c,0x0acb788c,0x00000fff,0x00000fff,1
0x0930,0x0acb7930,0x00000001,0x00000001,1
0x0934,0x0acb7934,0x00000001,0x00000001,1
0x0938,0x0acb7938,0x48000008,0x48000008,1
0x0948,0x0acb7948,0x00000001,0x00000001,1
0x0950,0x0acb7950,0xffff0000,0xffff0000,1
0x0954,0x0acb7954,0x3fff0000,0x3fff0000,1
0x096c,0x0acb796c,0x00000001,0x00000001,1
0x098c,0x0acb798c,0x00000fff,0x00000fff,1
0x0a00,0x0acb7a00,0x0000ffff,0x0000ffff,1
0x0a18,0x0acb7a18,0x0000ffff,0x0000ffff,1
0x0a30,0x0acb7a30,0x0000ffff,0x0000ffff,1
0x0a48,0x0acb7a48,0x0000ffff,0x0000ffff,1
0x0a60,0x0acb7a60,0x000fffff,0x000fffff,1
0x0a78,0x0acb7a78,0x000fffff,0x000fffff,1
0x0a90,0x0acb7a90,0x000fffff,0x000fffff,1
0x0b10,0x0acb7b10,0x00000040,0x00000040,1
0x0b38,0x0acb7b38,0x00000001,0x00000001,1
0x0b3c,0x0acb7b3c,0x00000001,0x00000001,1
0x0b40,0x0acb7b40,0x08000008,0x08000008,1
0x0b48,0x0acb7b48,0x00000001,0x00000001,1
0x0b5c,0x0acb7b5c,0xffff0000,0xffff0000,1
0x0b60,0x0acb7b60,0x3fff0000,0x3fff0000,1
0x0b7c,0x0acb7b7c,0x00000001,0x00000001,1
0x0b90,0x0acb7b90,0x00000fff,0x00000fff,1
