offset,address,idle,live1,live2,post,stable_live,stable_nonzero,changed_from_idle,returns_to_idle
0x0114,0x0ace8114,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0118,0x0ace8118,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x011c,0x0ace811c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0120,0x0ace8120,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0124,0x0ace8124,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0128,0x0ace8128,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x012c,0x0ace812c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0130,0x0ace8130,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0134,0x0ace8134,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0138,0x0ace8138,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x013c,0x0ace813c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0140,0x0ace8140,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0144,0x0ace8144,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0148,0x0ace8148,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x014c,0x0ace814c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0150,0x0ace8150,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0154,0x0ace8154,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0158,0x0ace8158,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x015c,0x0ace815c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0160,0x0ace8160,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0164,0x0ace8164,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0168,0x0ace8168,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x016c,0x0ace816c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0170,0x0ace8170,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0174,0x0ace8174,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0178,0x0ace8178,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x017c,0x0ace817c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0180,0x0ace8180,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0184,0x0ace8184,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0188,0x0ace8188,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x018c,0x0ace818c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0190,0x0ace8190,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0194,0x0ace8194,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x0198,0x0ace8198,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x019c,0x0ace819c,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x01a0,0x0ace81a0,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x01a4,0x0ace81a4,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x01a8,0x0ace81a8,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
0x01ac,0x0ace81ac,0x80000000,0x00000000,0x00000000,0x80000000,True,False,True,True
