register_offset,absolute_address,public_name,ownership_class,basis,write_count,packet_coverage,distinct_value_count,distinct_values,within_packet_value_change,independent_windows_live_volatile,dmi_associated_control,dmi_associated_phase_variant
0x3f68,0x0ac74f68,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,1,0,1,0x00000000,0,0,0,0
0x4358,0x0ac75358,,dmi_associated_phase_variant_control,"exactly DMI register +0x50/+0x54, 0/1-valued per startup packet; semantics intentionally unresolved",3,"0,1,2",2,0x00000000;0x00000001,0,0,1,1
0x435c,0x0ac7535c,,dmi_associated_phase_variant_control,"exactly DMI register +0x50/+0x54, 0/1-valued per startup packet; semantics intentionally unresolved",3,"0,1,2",2,0x00000000;0x00000001,0,0,1,1
0x4360,0x0ac75360,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x30003001,0,0,0,0
0x4368,0x0ac75368,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x000000bf,0,0,0,0
0x436c,0x0ac7536c,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x005f0077,0,0,0,0
0x4370,0x0ac75370,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x1111100e,0,0,0,0
0x4374,0x0ac75374,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x1555500b,0,0,0,0
0x4378,0x0ac75378,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00000000,0,0,0,0
0x437c,0x0ac7537c,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x06600000,0,0,0,0
0x4380,0x0ac75380,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00000000,0,0,0,0
0x4384,0x0ac75384,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x04000000,0,0,0,0
0x4388,0x0ac75388,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00000040,0,0,0,0
0x438c,0x0ac7538c,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00000000,0,0,0,0
0x4390,0x0ac75390,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00000000,0,0,0,0
0x4394,0x0ac75394,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x06600000,0,0,0,0
0x4398,0x0ac75398,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x10000000,0,0,0,0
0x4560,0x0ac75560,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00000001,0,0,0,0
0x4568,0x0ac75568,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x08000000,0,0,0,0
0x456c,0x0ac7556c,,unpublished_iq_phase_variant,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",2,0x0bf40000;0x0fe40000,0,0,0,0
0x4570,0x0ac75570,,unpublished_iq_phase_variant,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",2,0x0e1c0000;0x10580000,0,0,0,0
0x4574,0x0ac75574,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x06600000,0,0,0,0
0x4578,0x0ac75578,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x06600000,0,0,0,0
0x457c,0x0ac7557c,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x06600000,0,0,0,0
0x4580,0x0ac75580,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x06600000,0,0,0,0
0x4584,0x0ac75584,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x06600000,0,0,0,0
0x4588,0x0ac75588,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x06600000,0,0,0,0
0x458c,0x0ac7558c,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00101010,0,0,0,0
0x4590,0x0ac75590,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x7fffe000,0,0,0,0
0x4594,0x0ac75594,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x0000030c,0,0,0,0
0x4758,0x0ac75758,,dmi_associated_phase_variant_control,"exactly DMI register +0x50/+0x54, 0/1-valued per startup packet; semantics intentionally unresolved",3,"0,1,2",2,0x00000000;0x00000001,0,0,1,1
0x475c,0x0ac7575c,,dmi_associated_phase_variant_control,"exactly DMI register +0x50/+0x54, 0/1-valued per startup packet; semantics intentionally unresolved",3,"0,1,2",2,0x00000000;0x00000001,0,0,1,1
0x4760,0x0ac75760,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00000203,0,0,0,0
0x4770,0x0ac75770,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x0040009a,0,0,0,0
0x4774,0x0ac75774,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00001900,0,0,0,0
0x4958,0x0ac75958,,dmi_associated_phase_variant_control,"exactly DMI register +0x50/+0x54, 0/1-valued per startup packet; semantics intentionally unresolved",3,"0,1,2",2,0x00000000;0x00000001,0,0,1,1
0x495c,0x0ac7595c,,dmi_associated_phase_variant_control,"exactly DMI register +0x50/+0x54, 0/1-valued per startup packet; semantics intentionally unresolved",3,"0,1,2",2,0x00000000;0x00000001,0,0,1,1
0x4960,0x0ac75960,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00000301,0,0,0,0
0x4968,0x0ac75968,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00000004,0,0,0,0
0x496c,0x0ac7596c,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00000001,0,0,0,0
0x4980,0x0ac75980,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00140000,0,0,0,0
0x4984,0x0ac75984,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x00140000,0,0,0,0
0x4988,0x0ac75988,,unpublished_iq_static_config_candidate,outside public VFE680 top/bus map; semantic IQ name intentionally unresolved,3,"0,1,2",1,0x003c0044,0,0,0,0
