stream_offset,command,register_offset,absolute_address,value,outside_linux_0x4000_mapping
0x0000,REG_CONT,0x004b60,0x0ac75b60,0x00000001,1
0x000c,REG_CONT,0x004b68,0x0ac75b68,0x06600000,1
0x000c,REG_CONT,0x004b6c,0x0ac75b6c,0x00000834,1
0x000c,REG_CONT,0x004b70,0x0ac75b70,0x00000000,1
0x000c,REG_CONT,0x004b74,0x0ac75b74,0x00000000,1
0x000c,REG_CONT,0x004b78,0x0ac75b78,0x00000000,1
0x000c,REG_CONT,0x004b7c,0x0ac75b7c,0x00000000,1
0x002c,REG_CONT,0x003b60,0x0ac74b60,0x00100001,0
0x0038,REG_CONT,0x003b68,0x0ac74b68,0x000000c9,0
0x0038,REG_CONT,0x003b6c,0x0ac74b6c,0x000000ac,0
0x0038,REG_CONT,0x003b70,0x0ac74b70,0x04270427,0
0x0038,REG_CONT,0x003b74,0x0ac74b74,0x04280427,0
0x0038,REG_CONT,0x003b78,0x0ac74b78,0x0fa40000,0
0x0038,REG_CONT,0x003b7c,0x0ac74b7c,0x0fa00000,0
0x0038,REG_CONT,0x003b80,0x0ac74b80,0x0fb00000,0
0x0038,REG_CONT,0x003b84,0x0ac74b84,0x0fc80000,0
0x0038,REG_CONT,0x003b88,0x0ac74b88,0x06600000,0
0x0038,REG_CONT,0x003b8c,0x0ac74b8c,0x06600000,0
0x0038,REG_CONT,0x003b90,0x0ac74b90,0x06600000,0
0x0038,REG_CONT,0x003b94,0x0ac74b94,0x06600000,0
0x0070,REG_CONT,0x003d58,0x0ac74d58,0x00000000,0
0x0070,REG_CONT,0x003d5c,0x0ac74d5c,0x00000000,0
0x0070,REG_CONT,0x003d60,0x0ac74d60,0x00000203,0
0x0084,REG_CONT,0x003d68,0x0ac74d68,0x06600000,0
0x0090,REG_CONT,0x003d70,0x0ac74d70,0x00006020,0
0x009c,REG_CONT,0x003d78,0x0ac74d78,0x00001c37,0
0x009c,REG_CONT,0x003d7c,0x0ac74d7c,0x00001fc7,0
0x009c,REG_CONT,0x003d80,0x0ac74d80,0x00000913,0
0x009c,REG_CONT,0x003d84,0x0ac74d84,0x0000080e,0
0x009c,REG_CONT,0x003d88,0x0ac74d88,0x00000000,0
0x009c,REG_CONT,0x003d8c,0x0ac74d8c,0x08700f00,0
0x00bc,REG_CONT,0x003db4,0x0ac74db4,0x00000000,0
0x00bc,REG_CONT,0x003db8,0x0ac74db8,0x00800080,0
0x00cc,REG_CONT,0x003dd4,0x0ac74dd4,0x1f400000,0
0x00cc,REG_CONT,0x003dd8,0x0ac74dd8,0x00500000,0
0x00e8,REG_CONT,0x004358,0x0ac75358,0x00000000,1
0x00e8,REG_CONT,0x00435c,0x0ac7535c,0x00000000,1
0x00e8,REG_CONT,0x004360,0x0ac75360,0x30003001,1
0x00fc,REG_CONT,0x004368,0x0ac75368,0x000000bf,1
0x00fc,REG_CONT,0x00436c,0x0ac7536c,0x005f0077,1
0x00fc,REG_CONT,0x004370,0x0ac75370,0x1111100e,1
0x00fc,REG_CONT,0x004374,0x0ac75374,0x1555500b,1
0x00fc,REG_CONT,0x004378,0x0ac75378,0x00000000,1
0x00fc,REG_CONT,0x00437c,0x0ac7537c,0x06600000,1
0x00fc,REG_CONT,0x004380,0x0ac75380,0x00000000,1
0x00fc,REG_CONT,0x004384,0x0ac75384,0x04000000,1
0x00fc,REG_CONT,0x004388,0x0ac75388,0x00000040,1
0x00fc,REG_CONT,0x00438c,0x0ac7538c,0x00000000,1
0x00fc,REG_CONT,0x004390,0x0ac75390,0x00000000,1
0x00fc,REG_CONT,0x004394,0x0ac75394,0x06600000,1
0x00fc,REG_CONT,0x004398,0x0ac75398,0x10000000,1
0x015c,REG_CONT,0x004568,0x0ac75568,0x08000000,1
0x015c,REG_CONT,0x00456c,0x0ac7556c,0x0fe40000,1
0x015c,REG_CONT,0x004570,0x0ac75570,0x0e1c0000,1
0x015c,REG_CONT,0x004574,0x0ac75574,0x06600000,1
0x015c,REG_CONT,0x004578,0x0ac75578,0x06600000,1
0x015c,REG_CONT,0x00457c,0x0ac7557c,0x06600000,1
0x015c,REG_CONT,0x004580,0x0ac75580,0x06600000,1
0x015c,REG_CONT,0x004584,0x0ac75584,0x06600000,1
0x015c,REG_CONT,0x004588,0x0ac75588,0x06600000,1
0x015c,REG_CONT,0x00458c,0x0ac7558c,0x00101010,1
0x015c,REG_CONT,0x004590,0x0ac75590,0x7fffe000,1
0x015c,REG_CONT,0x004594,0x0ac75594,0x0000030c,1
0x0194,REG_CONT,0x004560,0x0ac75560,0x00000001,1
0x01a0,REG_CONT,0x004758,0x0ac75758,0x00000000,1
0x01a0,REG_CONT,0x00475c,0x0ac7575c,0x00000000,1
0x01a0,REG_CONT,0x004760,0x0ac75760,0x00000203,1
0x01b4,REG_CONT,0x004770,0x0ac75770,0x0040009a,1
0x01b4,REG_CONT,0x004774,0x0ac75774,0x00001900,1
0x01d0,REG_CONT,0x004968,0x0ac75968,0x00000004,1
0x01d0,REG_CONT,0x00496c,0x0ac7596c,0x00000001,1
0x01e0,REG_CONT,0x004980,0x0ac75980,0x00140000,1
0x01e0,REG_CONT,0x004984,0x0ac75984,0x00140000,1
0x01e0,REG_CONT,0x004988,0x0ac75988,0x003c0044,1
0x01e0,REG_CONT,0x00498c,0x0ac7598c,0x00500000,1
0x01f8,REG_CONT,0x0049a0,0x0ac759a0,0x03031010,1
0x01f8,REG_CONT,0x0049a4,0x0ac759a4,0x19800000,1
0x01f8,REG_CONT,0x0049a8,0x0ac759a8,0x10000000,1
0x01f8,REG_CONT,0x0049ac,0x0ac759ac,0x01230123,1
0x01f8,REG_CONT,0x0049b0,0x0ac759b0,0x00000000,1
0x01f8,REG_CONT,0x0049b4,0x0ac759b4,0x00a00040,1
0x01f8,REG_CONT,0x0049b8,0x0ac759b8,0xa09a0000,1
0x01f8,REG_CONT,0x0049bc,0x0ac759bc,0xa09a0000,1
0x0220,REG_CONT,0x0049c8,0x0ac759c8,0x028f0000,1
0x0220,REG_CONT,0x0049cc,0x0ac759cc,0x0a3c05c2,1
0x0220,REG_CONT,0x0049d0,0x0ac759d0,0xffffffff,1
0x0220,REG_CONT,0x0049d4,0x0ac759d4,0xffffffff,1
0x0220,REG_CONT,0x0049d8,0x0ac759d8,0xb1e4a0c8,1
0x0220,REG_CONT,0x0049dc,0x0ac759dc,0xb1e4a0c8,1
0x0220,REG_CONT,0x0049e0,0x0ac759e0,0xffffffff,1
0x0220,REG_CONT,0x0049e4,0x0ac759e4,0x3db838e8,1
0x0220,REG_CONT,0x0049e8,0x0ac759e8,0x90378680,1
0x024c,REG_CONT,0x004958,0x0ac75958,0x00000000,1
0x024c,REG_CONT,0x00495c,0x0ac7595c,0x00000000,1
0x024c,REG_CONT,0x004960,0x0ac75960,0x00000301,1
0x026c,REG_CONT,0x005660,0x0ac76660,0x00004001,1
0x0278,REG_CONT,0x005668,0x0ac76668,0x00000000,1
0x0278,REG_CONT,0x00566c,0x0ac7666c,0x00000080,1
0x0278,REG_CONT,0x005670,0x0ac76670,0x01000000,1
0x0278,REG_CONT,0x005674,0x0ac76674,0x00000066,1
0x0290,REG_CONT,0x005a58,0x0ac76a58,0x00000000,1
0x0290,REG_CONT,0x005a5c,0x0ac76a5c,0x00000000,1
0x0290,REG_CONT,0x005a60,0x0ac76a60,0x00000001,1
0x0290,REG_CONT,0x005a64,0x0ac76a64,0x00000010,1
0x0290,REG_CONT,0x005a68,0x0ac76a68,0x00000020,1
0x0290,REG_CONT,0x005a6c,0x0ac76a6c,0x00000010,1
0x0290,REG_CONT,0x005a70,0x0ac76a70,0x00000000,1
0x0290,REG_CONT,0x005a74,0x0ac76a74,0x00000000,1
0x0290,REG_CONT,0x005a78,0x0ac76a78,0x00000001,1
0x0290,REG_CONT,0x005a7c,0x0ac76a7c,0x00000001,1
0x0290,REG_CONT,0x005a80,0x0ac76a80,0x00000001,1
0x0290,REG_CONT,0x005a84,0x0ac76a84,0x00000002,1
0x0290,REG_CONT,0x005a88,0x0ac76a88,0x00000003,1
0x0290,REG_CONT,0x005a8c,0x0ac76a8c,0x00000004,1
0x0290,REG_CONT,0x005a90,0x0ac76a90,0x00000005,1
0x0290,REG_CONT,0x005a94,0x0ac76a94,0x00000007,1
0x0290,REG_CONT,0x005a98,0x0ac76a98,0x00000008,1
0x0290,REG_CONT,0x005a9c,0x0ac76a9c,0x0000000a,1
0x0290,REG_CONT,0x005aa0,0x0ac76aa0,0x0000000c,1
0x0290,REG_CONT,0x005aa4,0x0ac76aa4,0x0000000f,1
0x0290,REG_CONT,0x005aa8,0x0ac76aa8,0x00000011,1
0x0290,REG_CONT,0x005aac,0x0ac76aac,0x00000014,1
0x0290,REG_CONT,0x005ab0,0x0ac76ab0,0x00000016,1
0x0290,REG_CONT,0x005ab4,0x0ac76ab4,0x00000019,1
0x0290,REG_CONT,0x005ab8,0x0ac76ab8,0x0000001c,1
0x0290,REG_CONT,0x005abc,0x0ac76abc,0x00000020,1
0x0290,REG_CONT,0x005ac0,0x0ac76ac0,0x00000023,1
0x0290,REG_CONT,0x005ac4,0x0ac76ac4,0x00000027,1
0x0290,REG_CONT,0x005ac8,0x0ac76ac8,0x0000002a,1
0x0290,REG_CONT,0x005acc,0x0ac76acc,0x0000002e,1
0x0290,REG_CONT,0x005ad0,0x0ac76ad0,0x00000032,1
0x0290,REG_CONT,0x005ad4,0x0ac76ad4,0x00000036,1
0x0290,REG_CONT,0x005ad8,0x0ac76ad8,0x0000003b,1
0x0290,REG_CONT,0x005adc,0x0ac76adc,0x0000003f,1
0x0290,REG_CONT,0x005ae0,0x0ac76ae0,0x00000044,1
0x0290,REG_CONT,0x005ae4,0x0ac76ae4,0x00000048,1
0x0290,REG_CONT,0x005ae8,0x0ac76ae8,0x0000004d,1
0x0290,REG_CONT,0x005aec,0x0ac76aec,0x00000052,1
0x0290,REG_CONT,0x005af0,0x0ac76af0,0x00000057,1
0x0290,REG_CONT,0x005af4,0x0ac76af4,0x0000005c,1
0x0290,REG_CONT,0x005af8,0x0ac76af8,0x00000062,1
0x0290,REG_CONT,0x005afc,0x0ac76afc,0x00000067,1
0x0290,REG_CONT,0x005b00,0x0ac76b00,0x0000006d,1
0x0290,REG_CONT,0x005b04,0x0ac76b04,0x00000073,1
0x0290,REG_CONT,0x005b08,0x0ac76b08,0x00000078,1
0x0290,REG_CONT,0x005b0c,0x0ac76b0c,0x0000007e,1
0x0290,REG_CONT,0x005b10,0x0ac76b10,0x00000085,1
0x0290,REG_CONT,0x005b14,0x0ac76b14,0x0000008b,1
0x0290,REG_CONT,0x005b18,0x0ac76b18,0x00000091,1
0x0290,REG_CONT,0x005b1c,0x0ac76b1c,0x00000098,1
0x0290,REG_CONT,0x005b20,0x0ac76b20,0x0000009e,1
0x0290,REG_CONT,0x005b24,0x0ac76b24,0x000000a5,1
0x0290,REG_CONT,0x005b28,0x0ac76b28,0x000000ac,1
0x0290,REG_CONT,0x005b2c,0x0ac76b2c,0x000000b3,1
0x0290,REG_CONT,0x005b30,0x0ac76b30,0x000000ba,1
0x0290,REG_CONT,0x005b34,0x0ac76b34,0x000000c1,1
0x0290,REG_CONT,0x005b38,0x0ac76b38,0x000000c9,1
0x0290,REG_CONT,0x005b3c,0x0ac76b3c,0x000000d0,1
0x0290,REG_CONT,0x005b40,0x0ac76b40,0x000000d8,1
0x0290,REG_CONT,0x005b44,0x0ac76b44,0x000000e0,1
0x0290,REG_CONT,0x005b48,0x0ac76b48,0x000000e7,1
0x0290,REG_CONT,0x005b4c,0x0ac76b4c,0x000000ef,1
0x0290,REG_CONT,0x005b50,0x0ac76b50,0x000000f8,1
0x0290,REG_CONT,0x005b54,0x0ac76b54,0x00000100,1
0x0290,REG_CONT,0x005b58,0x0ac76b58,0x00000108,1
0x0290,REG_CONT,0x005b5c,0x0ac76b5c,0x00000111,1
0x0290,REG_CONT,0x005b60,0x0ac76b60,0x00000119,1
0x0290,REG_CONT,0x005b64,0x0ac76b64,0x00000122,1
0x0290,REG_CONT,0x005b68,0x0ac76b68,0x0000012b,1
0x0290,REG_CONT,0x005b6c,0x0ac76b6c,0x00000134,1
0x0290,REG_CONT,0x005b70,0x0ac76b70,0x0000013d,1
0x0290,REG_CONT,0x005b74,0x0ac76b74,0x00000147,1
0x0290,REG_CONT,0x005b78,0x0ac76b78,0x00000150,1
0x0290,REG_CONT,0x005b7c,0x0ac76b7c,0x0000015a,1
0x0290,REG_CONT,0x005b80,0x0ac76b80,0x00000164,1
0x0290,REG_CONT,0x005b84,0x0ac76b84,0x0000016e,1
0x0290,REG_CONT,0x005b88,0x0ac76b88,0x00000178,1
0x0290,REG_CONT,0x005b8c,0x0ac76b8c,0x00000182,1
0x0290,REG_CONT,0x005b90,0x0ac76b90,0x0000018c,1
0x0290,REG_CONT,0x005b94,0x0ac76b94,0x00000197,1
0x0290,REG_CONT,0x005b98,0x0ac76b98,0x000001a1,1
0x0290,REG_CONT,0x005b9c,0x0ac76b9c,0x000001ac,1
0x0290,REG_CONT,0x005ba0,0x0ac76ba0,0x000001b7,1
0x0290,REG_CONT,0x005ba4,0x0ac76ba4,0x000001c2,1
0x0290,REG_CONT,0x005ba8,0x0ac76ba8,0x000001ce,1
0x0290,REG_CONT,0x005bac,0x0ac76bac,0x000001d9,1
0x0290,REG_CONT,0x005bb0,0x0ac76bb0,0x000001e5,1
0x0290,REG_CONT,0x005bb4,0x0ac76bb4,0x000001f0,1
