stream_offset,command,register_offset,absolute_address,value,outside_linux_0x4000_mapping
0x0044,REG_CONT,0x005b54,0x0ac76b54,0x00000100,1
0x0044,REG_CONT,0x005b58,0x0ac76b58,0x00000108,1
0x0044,REG_CONT,0x005b5c,0x0ac76b5c,0x00000111,1
0x0044,REG_CONT,0x005b60,0x0ac76b60,0x00000119,1
0x0044,REG_CONT,0x005b64,0x0ac76b64,0x00000122,1
0x0044,REG_CONT,0x005b68,0x0ac76b68,0x0000012b,1
0x0044,REG_CONT,0x005b6c,0x0ac76b6c,0x00000134,1
0x0044,REG_CONT,0x005b70,0x0ac76b70,0x0000013d,1
0x0044,REG_CONT,0x005b74,0x0ac76b74,0x00000147,1
0x0044,REG_CONT,0x005b78,0x0ac76b78,0x00000150,1
0x0044,REG_CONT,0x005b7c,0x0ac76b7c,0x0000015a,1
0x0044,REG_CONT,0x005b80,0x0ac76b80,0x00000164,1
0x0044,REG_CONT,0x005b84,0x0ac76b84,0x0000016e,1
0x0044,REG_CONT,0x005b88,0x0ac76b88,0x00000178,1
0x0044,REG_CONT,0x005b8c,0x0ac76b8c,0x00000182,1
0x0044,REG_CONT,0x005b90,0x0ac76b90,0x0000018c,1
0x0044,REG_CONT,0x005b94,0x0ac76b94,0x00000197,1
0x0044,REG_CONT,0x005b98,0x0ac76b98,0x000001a1,1
0x0044,REG_CONT,0x005b9c,0x0ac76b9c,0x000001ac,1
0x0044,REG_CONT,0x005ba0,0x0ac76ba0,0x000001b7,1
0x0044,REG_CONT,0x005ba4,0x0ac76ba4,0x000001c2,1
0x0044,REG_CONT,0x005ba8,0x0ac76ba8,0x000001ce,1
0x0044,REG_CONT,0x005bac,0x0ac76bac,0x000001d9,1
0x0044,REG_CONT,0x005bb0,0x0ac76bb0,0x000001e5,1
0x0044,REG_CONT,0x005bb4,0x0ac76bb4,0x000001f0,1
0x0044,REG_CONT,0x005bb8,0x0ac76bb8,0x000001fc,1
0x0044,REG_CONT,0x005bbc,0x0ac76bbc,0x00000208,1
0x0044,REG_CONT,0x005bc0,0x0ac76bc0,0x00000215,1
0x0044,REG_CONT,0x005bc4,0x0ac76bc4,0x00000221,1
0x0044,REG_CONT,0x005bc8,0x0ac76bc8,0x0000022e,1
0x0044,REG_CONT,0x005bcc,0x0ac76bcc,0x0000023b,1
0x0044,REG_CONT,0x005bd0,0x0ac76bd0,0x00000248,1
0x0044,REG_CONT,0x005bd4,0x0ac76bd4,0x00000255,1
0x0044,REG_CONT,0x005bd8,0x0ac76bd8,0x00000262,1
0x0044,REG_CONT,0x005bdc,0x0ac76bdc,0x00000270,1
0x0044,REG_CONT,0x005be0,0x0ac76be0,0x0000027e,1
0x0044,REG_CONT,0x005be4,0x0ac76be4,0x0000028c,1
0x0044,REG_CONT,0x005be8,0x0ac76be8,0x0000029a,1
0x0044,REG_CONT,0x005bec,0x0ac76bec,0x000002a8,1
0x0044,REG_CONT,0x005bf0,0x0ac76bf0,0x000002b7,1
0x0044,REG_CONT,0x005bf4,0x0ac76bf4,0x000002c6,1
0x0044,REG_CONT,0x005bf8,0x0ac76bf8,0x000002d5,1
0x0044,REG_CONT,0x005bfc,0x0ac76bfc,0x000002e4,1
0x0044,REG_CONT,0x005c00,0x0ac76c00,0x000002f4,1
0x0044,REG_CONT,0x005c04,0x0ac76c04,0x00000303,1
0x0044,REG_CONT,0x005c08,0x0ac76c08,0x00000313,1
0x0044,REG_CONT,0x005c0c,0x0ac76c0c,0x00000324,1
0x0044,REG_CONT,0x005c10,0x0ac76c10,0x00000334,1
0x0044,REG_CONT,0x005c14,0x0ac76c14,0x00000345,1
0x0044,REG_CONT,0x005c18,0x0ac76c18,0x00000356,1
0x0044,REG_CONT,0x005c1c,0x0ac76c1c,0x00000367,1
0x0044,REG_CONT,0x005c20,0x0ac76c20,0x00000379,1
0x0044,REG_CONT,0x005c24,0x0ac76c24,0x0000038a,1
0x0044,REG_CONT,0x005c28,0x0ac76c28,0x0000039c,1
0x0044,REG_CONT,0x005c2c,0x0ac76c2c,0x000003af,1
0x0044,REG_CONT,0x005c30,0x0ac76c30,0x000003c1,1
0x0044,REG_CONT,0x005c34,0x0ac76c34,0x000003d4,1
0x0044,REG_CONT,0x005c38,0x0ac76c38,0x000003e7,1
0x0044,REG_CONT,0x005c3c,0x0ac76c3c,0x000003fb,1
0x0044,REG_CONT,0x005c40,0x0ac76c40,0x0000040f,1
0x0044,REG_CONT,0x005c44,0x0ac76c44,0x00000423,1
0x0044,REG_CONT,0x005c48,0x0ac76c48,0x00000437,1
0x0044,REG_CONT,0x005c4c,0x0ac76c4c,0x0000044c,1
0x0044,REG_CONT,0x005c50,0x0ac76c50,0x00000461,1
0x0044,REG_CONT,0x005c54,0x0ac76c54,0x00000476,1
0x0044,REG_CONT,0x005c58,0x0ac76c58,0x0000048c,1
0x0044,REG_CONT,0x005c5c,0x0ac76c5c,0x000004a2,1
0x0044,REG_CONT,0x005c60,0x0ac76c60,0x000004b8,1
0x0044,REG_CONT,0x005c64,0x0ac76c64,0x000004cf,1
0x0044,REG_CONT,0x005c68,0x0ac76c68,0x000004e7,1
0x0044,REG_CONT,0x005c6c,0x0ac76c6c,0x000004fe,1
0x0044,REG_CONT,0x005c70,0x0ac76c70,0x00000516,1
0x0044,REG_CONT,0x005c74,0x0ac76c74,0x0000052e,1
0x0044,REG_CONT,0x005c78,0x0ac76c78,0x00000547,1
0x0044,REG_CONT,0x005c7c,0x0ac76c7c,0x00000560,1
0x0044,REG_CONT,0x005c80,0x0ac76c80,0x0000057a,1
0x0044,REG_CONT,0x005c84,0x0ac76c84,0x00000594,1
0x0044,REG_CONT,0x005c88,0x0ac76c88,0x000005ae,1
0x0044,REG_CONT,0x005c8c,0x0ac76c8c,0x000005c9,1
0x0044,REG_CONT,0x005c90,0x0ac76c90,0x000005e5,1
0x0044,REG_CONT,0x005c94,0x0ac76c94,0x00000600,1
0x0044,REG_CONT,0x005c98,0x0ac76c98,0x0000061d,1
0x0044,REG_CONT,0x005c9c,0x0ac76c9c,0x0000063a,1
0x0044,REG_CONT,0x005ca0,0x0ac76ca0,0x00000657,1
0x0044,REG_CONT,0x005ca4,0x0ac76ca4,0x00000675,1
0x0044,REG_CONT,0x005ca8,0x0ac76ca8,0x00000693,1
0x0044,REG_CONT,0x005cac,0x0ac76cac,0x000006b2,1
0x0044,REG_CONT,0x005cb0,0x0ac76cb0,0x000006d1,1
0x0044,REG_CONT,0x005cb4,0x0ac76cb4,0x000006f1,1
0x0044,REG_CONT,0x005cb8,0x0ac76cb8,0x00000712,1
0x0044,REG_CONT,0x005cbc,0x0ac76cbc,0x00000733,1
0x0044,REG_CONT,0x005cc0,0x0ac76cc0,0x00000754,1
0x0044,REG_CONT,0x005cc4,0x0ac76cc4,0x00000777,1
0x0044,REG_CONT,0x005cc8,0x0ac76cc8,0x0000079a,1
0x0044,REG_CONT,0x005ccc,0x0ac76ccc,0x000007bd,1
0x0044,REG_CONT,0x005cd0,0x0ac76cd0,0x000007e1,1
0x0044,REG_CONT,0x005cd4,0x0ac76cd4,0x00000806,1
0x0044,REG_CONT,0x005cd8,0x0ac76cd8,0x0000082c,1
0x0044,REG_CONT,0x005cdc,0x0ac76cdc,0x00000852,1
0x0044,REG_CONT,0x005ce0,0x0ac76ce0,0x00000879,1
0x0044,REG_CONT,0x005ce4,0x0ac76ce4,0x000008a0,1
